Lab_Depth, Lab_Sample_ID, Lab_XRD_Calcite, Lab_XRD_Dolomite, Lab_XRD_Ankerite, Lab_XRD_Siderite, Lab_XRD_Quartz, Lab_XRD_Plagioclase, Lab_XRD_K-Feldspar, Lab_XRD_Illite/Mica, Lab_XRD_Smectite, Lab_XRD_Kaolinite, Lab_XRD_Chlorite, Lab_XRD_Mixed Clay, Lab_XRD_Anhydrite, Lab_XRD_Gypsum, Lab_XRD_Pyrite, Lab_XRD_Hematite, Lab_XRF_Na, Lab_XRF_Mg, Lab_XRF_Al, Lab_XRF_Si, Lab_XRF_P, Lab_XRF_S, Lab_XRF_Cl, Lab_XRF_K, Lab_XRF_Ca, Lab_XRF_Ti, Lab_XRF_Mn, Lab_XRF_Fe, Lab_XRF_Zr, Lab_XRF_Sr, Lab_XRF_Ba, Log_Depth, Log_BIT, Log_BVOL , Log_CAL  , Log_CALZ , Log_CHT   , Log_CN    , Log_CNC   , Log_CVOL , Log_FRAMENO, Log_GR   , Log_GRSL , Log_HRD1 , Log_HRD2  , Log_K    , Log_KTH  , Log_LSN  , Log_PE    , Log_QPKS, Log_RTHK   , Log_RTHU    , Log_RUK     , Log_SFT2 , Log_SHR   , Log_SLGN, Log_SLTM, Log_SPD  , Log_SSD  , Log_SSN  , Log_TEN    , Log_TH    , Log_TTEN , Log_U      , Log_WTBH , Log_ZCOR      , Log_ZDEN , Log_ZDNC , Distance            , Match_Type
  10742.5,            20,             0.0,              1.5,                0,                0,            0.1,                 0.0,                  0,                   0,                0,                 0,                0,                  0,              98.4,              0,            0.0,                0,       0.0 ,       0.56,       0.0 ,       0.15,      0.0 ,     30.15,       0.0 ,      0.0 ,      68.4 ,          0,          0,       0.15,          0,       0.59,          0,  10742.5 ,    12.0, 510.84995, 13.411035, 13.411035, 1045.1317 ,  2.4252677,  1.4363279, 274.00174,        7224, 22.340557, 22.529839, 360.7111 ,  461.76028, 1.5040134, 21.430904, 3544.0889,  5.2304287,        2, 0.33835924 ,   2.088996  , 0.16197218  , 268.44995, 0.39523378,   2967.0,    528.0, 28.950054, 19957.828, 4035.3716, -18.314127 , 0.5088968 , 4011.0398, 0.24360833 , 231.91081, -0.0048354384 , 2.9467642, 2.9358516, 0.0                 , Exact
  10743.4,            21,             0.0,              0.7,                0,                0,            0.0,                 0.0,                  0,                   0,                0,                 0,                0,                  0,              99.3,              0,            0.0,                0,       0.0 ,       0.36,       0.04,       0.11,      0.0 ,     30.49,       0.01,      0.07,      68.28,          0,          0,       0.09,          0,       0.55,          0,  10743.5 ,    12.0, 509.8684 , 13.422408, 13.422408, 1052.3115 ,  2.3223135,  1.3430612, 273.52548,        7228, 23.77312 , 23.982346, 368.7085 ,  478.5495 , 1.6966728, 23.907827, 3687.4653,  5.380684 ,        2, 0.54503286 ,  53.371674  , 0.010212025 , 270.92038, 0.38327834,   2967.0,    524.0, 28.931269, 20030.232, 4165.875 , -8.90457   , 0.92474246, 4020.7507, 0.017326465, 232.1537 , -0.0094429795 , 2.929054 , 2.918051 , 0.1000000000003638  , Near
  10744.3,            22,             0.0,              3.0,                0,                0,            0.1,                 0.0,                  0,                   0,                0,                 0,                0,                  0,              96.9,              0,            0.0,                0,       0.0 ,       1.1 ,       0.06,       0.1 ,      0.03,     27.48,       0.0 ,      0.14,      70.3 ,          0,          0,       0.19,          0,       0.6 ,          0,  10744.25,    12.0, 509.13168, 13.413996, 13.413996, 1055.2046 ,  2.2144303,  1.2479265, 273.16772,        7231, 24.094608, 24.314579, 374.33902,  471.69666, 1.8721596, 24.246521, 3860.856 ,  5.688814 ,        2, 0.5817928  ,  62.863888  , 0.009254801 , 275.65674, 0.37479433,   2967.0,    526.0, 28.972733, 20071.887, 4325.8003, -7.7413855 , 1.089209  , 4022.001 , 0.017326465, 232.22966, -0.013279409  , 2.925855 , 2.9148312, 0.049999999999272404, Near
  10745.4,            23,             0.0,             22.8,                0,                0,            0.1,                 0.3,                  0,                   0,                0,                 0,                0,                  0,              76.8,              0,            0.0,                0,       0.0 ,       8.22,       0.26,       0.91,      0.0 ,     17.83,       0.07,      0.35,      71.44,          0,          0,       0.46,          0,       0.46,          0,  10745.5 ,    12.0, 507.90256, 13.463404, 13.463404, 1047.6252 ,  2.7005165,  1.6746058, 272.5702 ,        7236, 24.838037, 25.034414, 381.13538,  497.10657, 2.0581923, 24.491434, 3844.596 ,  6.305316 ,        2, 0.5564631  ,   7.645788  , 0.07278035  , 274.09546, 0.33912602,   2967.0,    525.0, 28.74554 , 19507.049, 4468.672 , -19.01217  , 1.1453081 , 4011.2126, 0.14979595 , 231.95135, -0.021488573  , 2.9011588, 2.890035 , 0.1000000000003638  , Near
  10746.5,            24,             0.0,              3.7,                0,                0,            0.1,                 0.1,                  0,                   0,                0,                 0,                0,                  0,              96.1,              0,            0.0,                0,       0.0 ,       1.7 ,       0.1 ,       0.3 ,      0.0 ,     28.19,       0.03,      0.16,      68.81,          0,          0,       0.17,          0,       0.54,          0,  10746.5 ,    12.0, 506.9115 , 13.493536, 13.493536, 1047.1978 ,  3.7662745,  2.6174927, 272.08444,        7240, 27.321262, 27.57161 , 397.7396 ,  519.2593 , 1.9725055, 25.499537, 3447.3516,  5.5809865,        2, 0.57958055 ,   2.164015  , 0.2678265   , 288.08392, 0.348323  ,   2967.0,    536.0, 28.820982, 20587.473, 4321.526 , -21.62413  , 1.1432258 , 4009.1106, 0.5282892  , 232.20607, -0.014056455  , 2.8895345, 2.8783689, 0.0                 , Exact
  10760.3,            36,             0.0,             92.7,                0,                0,            0.4,                 1.2,                  0,                   0,                0,                 0,                0,                  0,               5.7,              0,            0.0,                0,       0.11,      17.77,       0.45,       1.49,      0.0 ,      2.18,       0.16,      0.4 ,      76.64,          0,          0,       0.68,          0,       0.12,          0,  10760.25,    12.0, 492.09647, 14.015432, 14.015432, 1049.8403 ,  7.151785 ,  5.513683 , 264.21686,        7295, 27.50036 , 27.724968, 473.18365,  686.64795, 1.8827772, 22.38686 , 2279.8909,  9.494319 ,        2, 0.082356855,   0.11463002, 0.718458    , 268.74078, 0.2036911 ,   2967.0,    532.0, 28.389194, 22794.973, 3504.811 , -7.4961433 , 0.1550596 , 4028.7136, 1.3526963  , 232.5408 , 0.03535682    , 2.835279 , 2.8240724, 0.049999999999272404, Near
  10761.4,            37,             0.0,             64.5,                0,                0,            0.1,                 0.5,                  0,                   0,                0,                 0,                0,                  0,              34.8,              0,            0.1,                0,       0.09,      13.57,       0.29,       1.07,      0.02,      8.75,       0.16,      0.29,      74.65,          0,          0,       0.64,          0,       0.47,          0,  10761.5 ,    12.0, 490.78244, 13.631951, 13.631951, 1038.6304 ,  5.9123945,  4.4936194, 263.53445,        7300, 25.712727, 25.91531 , 420.35565,  590.2372 , 1.5906706, 22.088528, 2721.4775,  6.4441733,        2, 0.65251344 ,   1.128516  , 0.5782049   , 262.36505, 0.27721778,   2967.0,    532.0, 28.471401, 20337.082, 3904.1592, -33.222733 , 1.037934  , 4003.68  , 0.9197335  , 232.63515, -0.0019975756 , 2.8587065, 2.8474584, 0.1000000000003638  , Near
  10762.4,            38,             0.0,             47.4,                0,                0,            0.1,                 0.4,                  0,                   0,                0,                 0,                0,                  0,              52.1,              0,            0.0,                0,       0.0 ,      12.08,       0.25,       0.76,      0.0 ,     12.0 ,       0.07,      0.23,      73.48,          0,          0,       0.44,          0,       0.69,          0,  10762.5 ,    12.0, 489.77505, 13.593424, 13.593424, 1023.28625,  6.498708 ,  5.017916 , 263.03232,        7304, 26.232151, 26.45155 , 437.31458,  584.366  , 1.2892638, 23.2527  , 2602.1396,  5.525904 ,        2, 1.130951   ,   2.2774942 , 0.49657694  , 306.43143, 0.36032254,   2967.0,    531.0, 28.489346, 20773.477, 3859.8345, -24.483074 , 1.4580942 , 4013.3252, 0.6402187  , 232.75539, -0.0055044265 , 2.8503842, 2.8390875, 0.1000000000003638  , Near
  10767.7,            43,             0.0,             56.7,                0,                0,            0.1,                 0.9,                  0,                   0,                0,                 0,                0,                  0,              42.3,              0,            0.0,                0,       0.0 ,      12.6 ,       0.2 ,       0.7 ,      0.0 ,     10.88,       0.1 ,      0.28,      74.37,          0,          0,       0.38,          0,       0.49,          0,  10767.75,    12.0, 484.0159 , 14.630736, 14.630736, 1054.2898 , 13.206208 , 10.66365  , 259.9258 ,        7325, 29.115799, 29.405931, 670.1222 ,  967.36584, 2.2046974, 29.34419 , 1292.0934, 10.284936 ,        2, 1.3515679  , 171.97957   , 0.007858885 , 379.4864 , 0.20342548,   2967.0,    519.0, 28.441547, 24005.098, 2605.5598, -16.274426 , 2.979798  , 4024.3967, 0.017326465, 232.59538, 0.04044401    , 2.6881711, 2.6766083, 0.049999999999272404, Near
  10769.4,            45,             0.0,             58.2,                0,                0,            0.3,                 0.5,                  0,                   0,                0,                 0,                0,                  0,              41.0,              0,            0.0,                0,       0.0 ,      13.24,       0.17,       0.88,      0.0 ,      9.92,       0.1 ,      0.22,      74.58,          0,          0,       0.45,          0,       0.44,          0,  10769.5 ,    12.0, 482.0079 , 14.074553, 14.074553, 1055.494  , 12.728764 , 10.386655 , 258.80203,        7332, 30.367905, 30.589006, 642.70337,  954.978  , 2.2938688, 30.52821 , 1384.4105, 10.449753 ,        2, 1.4531065  , 192.3783    , 0.007553381 , 331.42807, 0.18800074,   2967.0,    527.0, 28.475025, 24124.729, 2741.4512, -0.972934  , 3.3332357 , 4040.2463, 0.017326465, 232.97676, 0.04240562    , 2.700993 , 2.6893733, 0.1000000000003638  , Near
