Lab_Depth,Lab_Sample_ID,Lab_XRD_Calcite,Lab_XRD_Dolomite,Lab_XRD_Ankerite,Lab_XRD_Siderite,Lab_XRD_Quartz,Lab_XRD_Plagioclase,Lab_XRD_K-Feldspar,Lab_XRD_Illite/Mica,Lab_XRD_Smectite,Lab_XRD_Kaolinite,Lab_XRD_Dickite,Lab_XRD_Chlorite,Lab_XRD_Mixed Clay,Lab_XRD_Anhydrite,Lab_XRD_Gypsum,Lab_XRD_Pyrite,Lab_XRD_Anatase,Lab_XRD_Iron,Lab_XRD_Hematite,Log_Depth,Log_BIT,Log_CAL,Log_CALX,Log_CN,Log_CNC,Log_FRAMENO,Log_GR,Log_GRSLC,Log_HRD1,Log_HRD2,Log_KC,Log_KTHC,Log_LSN,Log_PE,Log_RTHKC,Log_RTHUC,Log_RUKC,Log_SFT2,Log_SHR,Log_SPD,Log_SSD,Log_SSN,Log_TEN,Log_THC,Log_TTEN,Log_UC,Log_WRM,Log_WTBH,Log_ZCOR,Log_ZDEN,Log_ZDNC,Distance,Match_Type
14856.58,1,0,0,0,0,99.6,0,0,0.3,0,0,0.1,0,0,0,0,0,0.0,0.0,0,14856.5,5.875,6.1685905,6.1651154,0.4369337,1.1872474,1507,94.53721,35.357,744.63104,899.57684,0.669,33.948,10179.897,2.0536284,12.007,31.69,0.379,621.9403,0.6344114,5.127041,20713.6,10224.872,-80.269104,8.031,6035.31,0.253,0.029359575,288.40283,0.027333274,2.5485544,2.541644,0.07999999999992724,Near
14856.88,2,0,0,0,0,99.7,0,0,0.3,0,0,0.0,0,0,0,0,0,0.0,0.0,0,14857.0,5.875,6.183324,6.1760654,0.34479094,1.0791379,1509,94.92056,35.495,738.3058,891.78217,0.658,33.817,10539.634,1.9993873,12.098,26.621,0.454,621.7604,0.6389714,5.116076,20711.531,10475.563,-87.142105,7.959,6033.736,0.299,0.033733696,288.77338,0.028629461,2.5536015,2.5466526,0.12000000000080036,Near
14857.83,3,0,0,0,0,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,14857.75,5.875,6.1796494,6.1843576,0.10150186,0.8220875,1512,92.06126,32.254,726.8654,885.9487,0.64,30.642,11092.557,1.9659675,11.607,24.521,0.473,622.73236,0.648547,5.112628,20637.76,10809.895,-74.18925,7.424,6054.135,0.303,0.029954199,288.416,0.028402422,2.5580075,2.5510263,0.07999999999992724,Near
14873.67,4,0,0,0,0,99.7,0,0,0.1,0,0,0.1,0,0,0,0,0,0.1,0.0,0,14873.75,5.875,6.3652983,6.374093,1.9282855,2.6341898,1576,105.7497,43.836,1198.7487,1540.417,1.069,42.433,7595.6123,3.1718583,7.844,30.482,0.257,956.3795,0.51632303,5.077779,27315.021,9078.093,-21.405153,8.382,6114.0273,0.275,0.016431486,288.23578,0.25978726,2.5590415,2.551881,0.07999999999992724,Near
14874.0,5,0,0,0,0,98.9,0,0,1.0,0,0,0.0,0,0,0,0,0,0.1,0.0,0,14874.0,5.875,6.354106,6.3652983,2.133939,2.85739,1577,106.24008,44.502,1177.2592,1511.514,1.062,42.656,7325.4424,3.1881573,7.733,23.087,0.335,942.5325,0.519561,5.0845375,26984.354,8936.533,-30.80112,8.21,6105.131,0.356,0.016195968,288.45367,0.25722244,2.5645518,2.557369,0.0,Exact
14874.21,6,0,0,0,0,99.2,0,0,0.7,0,0,0.0,0,0,0,0,0,0.1,0.0,0,14874.25,5.875,6.3477926,6.354106,2.372238,3.1169138,1578,106.42733,44.857,1167.1182,1502.3483,1.038,42.617,7048.328,3.2250311,7.784,19.091,0.408,938.22266,0.5205452,5.082741,27315.314,8777.936,-33.398125,8.076,6103.278,0.423,0.016487397,288.78632,0.2543438,2.5648072,2.557633,0.040000000000873115,Near
14874.46,7,0,0,0,0,99.7,0,0,0.1,0,0,0.1,0,0,0,0,0,0.1,0.0,0,14874.5,5.875,6.351733,6.3477926,2.6324642,3.3964794,1579,106.36493,44.853,1170.9092,1514.8109,1.002,42.273,6783.0376,3.2721946,7.964,16.698,0.477,944.60754,0.5191489,5.0751696,27640.074,8612.871,-30.525757,7.981,6106.956,0.478,0.01714634,289.14703,0.25175908,2.5595825,2.5524428,0.040000000000873115,Near
14874.83,8,0,0,0,0,99.7,0,0,0.1,0,0,0.1,0,0,0,0,0,0.1,0.0,0,14874.75,5.875,6.3666706,6.351733,2.8989725,3.6755466,1580,106.22438,44.597,1188.9653,1546.3729,0.957,41.691,6552.049,3.3218343,8.256,14.972,0.551,961.0512,0.5160161,5.066002,27858.775,8452.916,-25.045092,7.905,6113.168,0.528,0.0182367,289.47537,0.25035438,2.5502164,2.5431252,0.07999999999992724,Near
14879.17,9,0,0,0,0,99.6,0,0,0.1,0,0,0.2,0,0,0,0,0,0.1,0.0,0,14879.25,5.875,6.3829103,6.440174,2.4255035,3.0851238,1598,104.11343,40.948,1298.652,1688.3829,1.208,39.746,7282.5225,3.2010145,5.846,27.116,0.216,1025.8906,0.49981517,5.017952,27813.105,8646.914,-3.571012,7.063,6140.879,0.26,0.025074167,288.60117,0.26945797,2.5310385,2.523976,0.07999999999992724,Near
14879.42,10,0,0,0,0,99.8,0,0,0.2,0,0,0.0,0,0,0,0,0,0.0,0.0,0,14879.5,5.875,6.319124,6.3829103,2.3011677,2.9845703,1599,103.94834,41.654,1259.9342,1627.1217,1.238,40.651,7419.0312,3.134817,5.77,32.915,0.175,998.9514,0.5094913,5.014,27036.527,8679.316,1.4397087,7.142,6145.9443,0.217,0.021055017,288.57718,0.26355258,2.5399384,2.5328767,0.07999999999992724,Near
