Lab_Depth,Lab_Sample_ID,Lab_XRD_Calcite,Lab_XRD_Dolomite,Lab_XRD_Ankerite,Lab_XRD_Siderite,Lab_XRD_Quartz,Lab_XRD_Plagioclase,Lab_XRD_K-Feldspar,Lab_XRD_Illite/Mica,Lab_XRD_Smectite,Lab_XRD_Kaolinite,Lab_XRD_Chlorite,Lab_XRD_Mixed Clay,Lab_XRD_Anhydrite,Lab_XRD_Gypsum,Lab_XRD_Pyrite,Lab_XRD_Hematite,Lab_XRF_Na,Lab_XRF_Mg,Lab_XRF_Al,Lab_XRF_Si,Lab_XRF_P,Lab_XRF_S,Lab_XRF_Cl,Lab_XRF_K,Lab_XRF_Ca,Lab_XRF_Ti,Lab_XRF_Mn,Lab_XRF_Fe,Lab_XRF_Zr,Lab_XRF_Sr,Lab_XRF_Ba,Log_Depth,Log_BIT,Log_CHT.I,Log_CN,Log_CNC,Log_FRAMENO,Log_GR,Log_GRSL,Log_HRD1,Log_HRD2,Log_K,Log_KTH,Log_LSN,Log_PE,Log_QPKS,Log_RTHK,Log_RTHU,Log_RUK,Log_SFT2,Log_SHR,Log_SLGN,Log_SLTM,Log_SSD,Log_SSN,Log_TH,Log_U,Log_WTBH,Log_ZCOR,Log_ZDEN,Log_ZDNC,Distance,Match_Type
14889.2,2,0,0,0,0,99.2,0,0.0,0.7,0,0,0.1,0,0,0,0,0,0.14,0.11,1.39,92.9,0.0,0.11,0.69,2.74,1.19,0.0,0,0.59,0.14,0.0,0,14889.0,8.375,2026.0753,3.0742397,2.998433,1149,45.87907,45.581543,577.9996,1072.0789,0.00562208,12.146912,3037.492,12.959793,2,1000.26953,0.63523006,1574.6571,272.75305,0.13305992,2942.0,1199.0,17925.705,3779.938,5.623595,8.852848,,-0.06530415,2.5012064,2.4909055,0.2000000000007276,Near
14893.8,3,0,0,0,0,96.1,0,0.0,3.8,0,0,0.1,0,0,0,0,0,0.2,0.18,3.14,86.94,0.04,0.0,1.25,5.3,1.48,0.25,0,1.14,0.08,0.0,0,14894.0,8.375,2047.9376,4.6720376,4.583495,1159,47.916912,45.457382,646.2727,1175.8319,0.36426637,13.0929165,2368.5918,12.001599,2,10.561854,0.476049,22.186483,281.15735,0.14745691,2942.0,1098.0,17614.334,3283.1836,3.8473282,8.08179,,-0.08808942,2.4348638,2.4249775,0.2000000000007276,Near
14894.7,4,0,0,0,0,96.5,0,0.0,3.4,0,0,0.1,0,0,0,0,0,0.2,0.42,2.23,86.85,0.0,0.56,1.01,4.23,3.07,0.37,0,0.98,0.08,0.0,0,14894.5,8.375,2044.8132,5.061863,4.9702044,1160,51.001545,47.83233,627.3694,1159.9924,0.41951248,14.698652,2275.498,12.308898,2,10.19447,0.5158814,19.761267,270.56787,0.14490028,2942.0,1128.0,17917.314,3232.0718,4.2767076,8.290098,,-0.080391675,2.4510174,2.441028,0.2000000000007276,Near
14895.3,5,0,0,0,0,95.1,0,0.0,4.8,0,0,0.1,0,0,0,0,0,0.17,0.16,3.13,85.27,0.0,0.11,1.14,6.24,1.19,0.7,0,1.72,0.17,0.0,0,14895.5,8.375,2027.6663,5.627979,5.5318074,1162,57.117676,62.925125,610.8976,1080.2478,0.5003403,21.3232,2201.6052,12.359846,2,11.121002,0.61333746,18.131947,267.14658,0.1516199,2942.0,1146.0,18692.857,3236.0847,5.5642853,9.072144,,-0.049249057,2.5064638,2.496131,0.2000000000007276,Near
14901.9,6,0,0,0,0,96.7,0,0.9,2.0,0,0,0.4,0,0,0,0,0,0.14,0.53,2.16,85.63,0.0,0.64,1.03,4.05,3.24,0.68,0,1.68,0.22,0.0,0,14902.0,8.375,2050.226,5.3237586,5.230013,1175,45.374146,43.893738,680.7974,1066.9924,0.14565156,11.61227,2548.2712,10.948415,2,31.795174,0.54317814,58.535442,354.50244,0.17740378,2942.0,1082.0,18950.104,3677.9526,4.6310167,8.525779,,-0.04240293,2.4988394,2.4885528,0.1000000000003638,Near
14903.7,7,0,0,0,0,97.4,0,0.0,2.5,0,0,0.1,0,0,0,0,0,0.14,0.14,2.13,89.95,0.03,0.0,0.96,4.1,0.94,0.65,0,0.8,0.16,0.0,0,14903.5,8.375,2078.057,5.8916693,5.7934003,1178,48.59736,51.139782,678.94275,1082.8704,0.049253438,10.769694,2276.1414,11.411782,2,89.25969,0.44300684,201.48602,348.1665,0.1693131,2942.0,1088.0,18704.096,3397.8936,4.3963466,9.92388,,-0.04452442,2.4932082,2.4829562,0.2000000000007276,Near
14905.7,8,0,0,0,0,94.0,0,0.0,5.9,0,0,0.1,0,0,0,0,0,0.18,0.24,4.21,82.46,0.0,0.0,1.11,7.96,1.34,0.83,0,1.63,0.0,0.04,0,14905.5,8.375,2090.8486,5.3369427,5.243089,1182,51.180954,49.33603,808.2584,1294.1901,0.054395065,10.170943,2242.0051,10.79198,2,81.90651,0.42912385,190.86916,410.37988,0.17742905,2942.0,1095.0,20104.773,3238.4995,4.45531,10.38234,,-0.03236076,2.4277363,2.417896,0.2000000000007276,Near
14931.5,14,0,0,0,0,92.0,0,0.0,7.9,0,0,0.1,0,0,0,0,0,0.24,0.49,4.02,83.37,0.0,0.15,1.33,5.96,1.68,0.86,0,1.76,0.14,0.0,0,14931.5,8.375,2050.2634,6.5061235,6.402984,1234,53.545433,54.391106,657.22595,1124.9198,0.58119726,18.193562,2099.4453,12.178758,2,8.393706,0.5449373,15.403067,328.2768,0.15304072,2941.0,1317.0,18815.438,3245.8926,4.878399,8.95222,,-0.05961815,2.4730744,2.4629467,0.0,Exact
14932.4,15,0,0,0,0,95.0,0,0.0,4.9,0,0,0.1,0,0,0,0,0,0.29,0.32,2.84,85.75,0.0,0.0,2.05,4.86,1.87,0.44,0,1.48,0.1,0.0,0,14932.5,8.375,2045.0361,7.040384,6.933039,1236,61.14629,60.363495,652.99475,1093.5444,0.59929025,20.161293,1962.0166,11.984385,2,9.833985,0.5760457,17.071537,320.35678,0.15445445,2941.0,1326.0,18465.213,3123.6729,5.8934116,10.230805,,-0.062771864,2.478785,2.4686217,0.1000000000003638,Near
14938.5,17,0,0,0,0,95.0,0,0.0,4.9,0,0,0.1,0,0,0,0,0,0.15,0.49,4.28,76.19,0.0,0.33,1.51,8.44,2.99,1.76,0,3.52,0.1,0.24,0,14938.5,8.375,2089.226,6.2766843,6.17536,1248,49.831818,52.01631,705.17847,1030.6913,0.35040092,11.512731,2037.3776,9.375854,2,8.845119,0.31431782,28.140688,388.9121,0.21440934,2941.0,1239.0,19688.373,3109.5117,3.099338,9.860523,,-0.011613803,2.5326345,2.5221453,0.0,Exact
