log_var,lab_var,num_wells,wells_found_in,r_values,avg_r,avg_abs_r,std_r,consistent_direction,HRDH_1119_r,HRDH_1867_r,HRDH_1804_r,HRDH_697_r
Log_LSN,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': -0.39022815355298185, 'HRDH_1804': 0.5134330752201117, 'HRDH_1867': 0.7569765396199918, 'HRDH_697': 0.7573511224643611}",0.40938314593787073,0.6044972227143617,0.47225721224680184,False,-0.39022815355298185,0.7569765396199918,0.5134330752201117,0.7573511224643611
Log_SSN,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': -0.4134052127796568, 'HRDH_1804': 0.5091945718962356, 'HRDH_1867': 0.7991940864393535, 'HRDH_697': 0.6935249822886702}",0.3971271069611506,0.6038297133509791,0.4793306047309061,False,-0.4134052127796568,0.7991940864393535,0.5091945718962356,0.6935249822886702
Log_CNC,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': 0.2451926035420242, 'HRDH_1804': -0.5127276920499557, 'HRDH_1867': -0.8718463731426624, 'HRDH_697': -0.7069086049213237}",-0.4615725166429794,0.5841688184139915,0.42738981639127854,False,0.2451926035420242,-0.8718463731426624,-0.5127276920499557,-0.7069086049213237
Log_CN,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': 0.23813791520749394, 'HRDH_1804': -0.5271219125020683, 'HRDH_1867': -0.8589087248712324, 'HRDH_697': -0.706911148488129}",-0.46370096766348395,0.5827699252672309,0.4218828027923561,False,0.23813791520749394,-0.8589087248712324,-0.5271219125020683,-0.706911148488129
Log_SSD,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': 0.5663848588300259, 'HRDH_1804': -0.4238842101750068, 'HRDH_1867': 0.6477630275982931, 'HRDH_697': -0.49616231349931866}",0.07352534068849838,0.533548602525661,0.5349345077470844,False,0.5663848588300259,0.6477630275982931,-0.4238842101750068,-0.49616231349931866
Log_HRD1,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': 0.5169766303481704, 'HRDH_1804': -0.44126897484748223, 'HRDH_1867': 0.6195562722044945, 'HRDH_697': -0.4565466396599123}",0.05967932201131758,0.5085871292650149,0.5099072139122132,False,0.5169766303481704,0.6195562722044945,-0.44126897484748223,-0.4565466396599123
Log_ZDNC,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': -0.4771332264096228, 'HRDH_1804': 0.45957029851957515, 'HRDH_1867': -0.8617093283796418, 'HRDH_697': 0.23057826798838518}",-0.16217349707032605,0.5072477803243062,0.5313589433477074,False,-0.4771332264096228,-0.8617093283796418,0.45957029851957515,0.23057826798838518
Log_ZDEN,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': -0.47699104892417304, 'HRDH_1804': 0.45857802167163464, 'HRDH_1867': -0.8616659530168979, 'HRDH_697': 0.2305905969250372}",-0.16237209583609974,0.5069564051344357,0.5310357122331761,False,-0.47699104892417304,-0.8616659530168979,0.45857802167163464,0.2305905969250372
Log_SFT2,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': 0.6080854311368148, 'HRDH_1804': -0.43953595286157177, 'HRDH_1867': 0.5752016944775449, 'HRDH_697': -0.37253153269819694}",0.09280491001364774,0.4988386527935321,0.4995361529240194,False,0.6080854311368148,0.5752016944775449,-0.43953595286157177,-0.37253153269819694
Log_GR,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': 0.3939021099325123, 'HRDH_1804': -0.15735665353654366, 'HRDH_1867': -0.8227708464459174, 'HRDH_697': -0.5529078889771666}",-0.28478331975677884,0.481734374723035,0.45775889702693273,False,0.3939021099325123,-0.8227708464459174,-0.15735665353654366,-0.5529078889771666
