n_wells,log_variable,lab_variable,wells,avg_r,avg_abs_r,std_r,min_r,max_r,consistent,type,strength,r_1119,r_1804,r_1867,r_697
1,SHR,XRF_Ti,697,0.9089772066940616,0.9089772066940616,0.0,0.9089772066940616,0.9089772066940616,True,Positive,Strong,,,,0.9089772066940616
1,PE,XRF_Ti,697,-0.8624300409550968,0.8624300409550968,0.0,-0.8624300409550968,-0.8624300409550968,True,Negative,Strong,,,,-0.8624300409550968
1,SHR,XRD_Anhydrite,1119,0.8541167659135853,0.8541167659135853,0.0,0.8541167659135853,0.8541167659135853,True,Positive,Strong,0.8541167659135853,,,
1,ZDNC,XRD_Anhydrite,1119,0.8503354667539832,0.8503354667539832,0.0,0.8503354667539832,0.8503354667539832,True,Positive,Strong,0.8503354667539832,,,
1,HRD2,XRD_Anhydrite,1119,-0.8497232715574873,0.8497232715574873,0.0,-0.8497232715574873,-0.8497232715574873,True,Negative,Strong,-0.8497232715574873,,,
1,PE,XRD_Anhydrite,1119,-0.8241188161022448,0.8241188161022448,0.0,-0.8241188161022448,-0.8241188161022448,True,Negative,Strong,-0.8241188161022448,,,
1,HRD1,XRD_Anhydrite,1119,-0.8210474998931334,0.8210474998931334,0.0,-0.8210474998931334,-0.8210474998931334,True,Negative,Strong,-0.8210474998931334,,,
1,HRD1,XRF_S,1119,-0.8153190501620635,0.8153190501620635,0.0,-0.8153190501620635,-0.8153190501620635,True,Negative,Strong,-0.8153190501620635,,,
1,HRD2,XRF_Zr,697,-0.7724297606204277,0.7724297606204277,0.0,-0.7724297606204277,-0.7724297606204277,True,Negative,Strong,,,,-0.7724297606204277
1,GR,XRF_Ca,1119,0.7510949862237785,0.7510949862237785,0.0,0.7510949862237785,0.7510949862237785,True,Positive,Strong,0.7510949862237785,,,
1,GR,XRD_Anhydrite,1119,-0.750758123841892,0.750758123841892,0.0,-0.750758123841892,-0.750758123841892,True,Negative,Strong,-0.750758123841892,,,
1,GRSL,XRD_Anhydrite,1119,-0.7501311883615143,0.7501311883615143,0.0,-0.7501311883615143,-0.7501311883615143,True,Negative,Strong,-0.7501311883615143,,,
1,LSN,XRF_S,1119,0.7480020302661188,0.7480020302661188,0.0,0.7480020302661188,0.7480020302661188,True,Positive,Strong,0.7480020302661188,,,
1,LSN,XRD_Anhydrite,1119,0.7291967408907243,0.7291967408907243,0.0,0.7291967408907243,0.7291967408907243,True,Positive,Strong,0.7291967408907243,,,
1,ZDNC,XRF_Ca,1119,-0.7189220317772164,0.7189220317772164,0.0,-0.7189220317772164,-0.7189220317772164,True,Negative,Strong,-0.7189220317772164,,,
1,SFT2,XRF_Ti,697,0.6975816758159019,0.6975816758159019,0.0,0.6975816758159019,0.6975816758159019,True,Positive,Moderate,,,,0.6975816758159019
1,LSN,XRD_Dolomite,1119,-0.6838372091570333,0.6838372091570333,0.0,-0.6838372091570333,-0.6838372091570333,True,Negative,Moderate,-0.6838372091570333,,,
1,SFT2,XRD_Anhydrite,1119,-0.6828835850694521,0.6828835850694521,0.0,-0.6828835850694521,-0.6828835850694521,True,Negative,Moderate,-0.6828835850694521,,,
1,HRD1,XRF_Ca,1119,0.6762115445881087,0.6762115445881087,0.0,0.6762115445881087,0.6762115445881087,True,Positive,Moderate,0.6762115445881087,,,
1,SFT2,XRF_S,1119,-0.6672264478470822,0.6672264478470822,0.0,-0.6672264478470822,-0.6672264478470822,True,Negative,Moderate,-0.6672264478470822,,,
1,ZDNC,XRF_Zr,697,0.6665112981521873,0.6665112981521873,0.0,0.6665112981521873,0.6665112981521873,True,Positive,Moderate,,,,0.6665112981521873
1,SHR,XRD_Dolomite,1119,-0.66055867490089,0.66055867490089,0.0,-0.66055867490089,-0.66055867490089,True,Negative,Moderate,-0.66055867490089,,,
1,SLTM,XRF_Cl,697,0.6578269612089226,0.6578269612089226,0.0,0.6578269612089226,0.6578269612089226,True,Positive,Moderate,,,,0.6578269612089226
1,GR,XRD_Calcite,1119,0.6516254335246393,0.6516254335246393,0.0,0.6516254335246393,0.6516254335246393,True,Positive,Moderate,0.6516254335246393,,,
1,GRSL,XRD_Calcite,1119,0.6514189428209832,0.6514189428209832,0.0,0.6514189428209832,0.6514189428209832,True,Positive,Moderate,0.6514189428209832,,,
1,KTH,XRF_Fe,1119,0.6372502036543126,0.6372502036543126,0.0,0.6372502036543126,0.6372502036543126,True,Positive,Moderate,0.6372502036543126,,,
1,KTH,XRD_Anhydrite,1119,-0.6341420306606184,0.6341420306606184,0.0,-0.6341420306606184,-0.6341420306606184,True,Negative,Moderate,-0.6341420306606184,,,
1,K,XRD_Illite/Mica,697,0.6322555452260515,0.6322555452260515,0.0,0.6322555452260515,0.6322555452260515,True,Positive,Moderate,,,,0.6322555452260515
1,PE,XRD_Dolomite,1119,0.6311440530195581,0.6311440530195581,0.0,0.6311440530195581,0.6311440530195581,True,Positive,Moderate,0.6311440530195581,,,
1,KTH,XRF_S,1119,-0.6242312108988489,0.6242312108988489,0.0,-0.6242312108988489,-0.6242312108988489,True,Negative,Moderate,-0.6242312108988489,,,
1,ZDNC,XRD_Dolomite,1119,-0.6019797881457123,0.6019797881457123,0.0,-0.6019797881457123,-0.6019797881457123,True,Negative,Moderate,-0.6019797881457123,,,
1,GR,XRD_Illite/Mica,697,0.6009179799365522,0.6009179799365522,0.0,0.6009179799365522,0.6009179799365522,True,Positive,Moderate,,,,0.6009179799365522
1,HRD2,XRD_Calcite,1119,0.5971412427728682,0.5971412427728682,0.0,0.5971412427728682,0.5971412427728682,True,Positive,Moderate,0.5971412427728682,,,
1,CNC,XRD_Dolomite,1119,0.5896368221561494,0.5896368221561494,0.0,0.5896368221561494,0.5896368221561494,True,Positive,Moderate,0.5896368221561494,,,
1,LSN,XRF_Ti,697,-0.5894456986182062,0.5894456986182062,0.0,-0.5894456986182062,-0.5894456986182062,True,Negative,Moderate,,,,-0.5894456986182062
1,CN,XRD_Dolomite,1119,0.5856753549887328,0.5856753549887328,0.0,0.5856753549887328,0.5856753549887328,True,Positive,Moderate,0.5856753549887328,,,
1,CN,XRF_Ti,697,0.5851882822726859,0.5851882822726859,0.0,0.5851882822726859,0.5851882822726859,True,Positive,Moderate,,,,0.5851882822726859
1,CNC,XRF_Ti,697,0.5851797607940104,0.5851797607940104,0.0,0.5851797607940104,0.5851797607940104,True,Positive,Moderate,,,,0.5851797607940104
1,HRD1,XRD_Dolomite,1119,0.5818327285405341,0.5818327285405341,0.0,0.5818327285405341,0.5818327285405341,True,Positive,Moderate,0.5818327285405341,,,
1,CNC,XRF_S,1119,-0.5777666150804419,0.5777666150804419,0.0,-0.5777666150804419,-0.5777666150804419,True,Negative,Moderate,-0.5777666150804419,,,
1,CN,XRF_S,1119,-0.5773821066454045,0.5773821066454045,0.0,-0.5773821066454045,-0.5773821066454045,True,Negative,Moderate,-0.5773821066454045,,,
1,HRD2,XRD_Dolomite,1119,0.5766609163743545,0.5766609163743545,0.0,0.5766609163743545,0.5766609163743545,True,Positive,Moderate,0.5766609163743545,,,
1,KTH,XRF_K,1119,0.5690380978811045,0.5690380978811045,0.0,0.5690380978811045,0.5690380978811045,True,Positive,Moderate,0.5690380978811045,,,
1,GR,XRF_Sr,1119,-0.567968916218385,0.567968916218385,0.0,-0.567968916218385,-0.567968916218385,True,Negative,Moderate,-0.567968916218385,,,
1,GRSL,XRF_Sr,1119,-0.5677792927570786,0.5677792927570786,0.0,-0.5677792927570786,-0.5677792927570786,True,Negative,Moderate,-0.5677792927570786,,,
1,KTH,XRD_Calcite,1119,0.5663485541277359,0.5663485541277359,0.0,0.5663485541277359,0.5663485541277359,True,Positive,Moderate,0.5663485541277359,,,
1,ZDNC,XRD_Calcite,1119,-0.563389395164784,0.563389395164784,0.0,-0.563389395164784,-0.563389395164784,True,Negative,Moderate,-0.563389395164784,,,
