log_var,lab_var,num_wells,wells_found_in,r_values,avg_r,avg_abs_r,std_r,consistent_direction
Log_LSN,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': np.float64(-0.39022815355298185), 'HRDH_1804': np.float64(0.5134330752201117), 'HRDH_1867': np.float64(0.7569765396199918), 'HRDH_697': np.float64(0.757351122464361)}",0.409383146,0.604497223,0.472257212,FALSE
Log_SSN,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': np.float64(-0.41340521277965675), 'HRDH_1804': np.float64(0.5091945718962357), 'HRDH_1867': np.float64(0.7991940864393535), 'HRDH_697': np.float64(0.6935249822886702)}",0.397127107,0.603829713,0.479330605,FALSE
Log_CNC,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': np.float64(0.24519260354202416), 'HRDH_1804': np.float64(-0.5127276920499558), 'HRDH_1867': np.float64(-0.8718463731426626), 'HRDH_697': np.float64(-0.7069086049213237)}",-0.461572517,0.584168818,0.427389816,FALSE
Log_CN,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': np.float64(0.23813791520749394), 'HRDH_1804': np.float64(-0.5271219125020683), 'HRDH_1867': np.float64(-0.8589087248712326), 'HRDH_697': np.float64(-0.7069111484881289)}",-0.463700968,0.582769925,0.421882803,FALSE
Log_SSD,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': np.float64(0.5663848588300258), 'HRDH_1804': np.float64(-0.4238842101750069), 'HRDH_1867': np.float64(0.6477630275982933), 'HRDH_697': np.float64(-0.49616231349931866)}",0.073525341,0.533548603,0.534934508,FALSE
Log_HRD1,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': np.float64(0.5169766303481703), 'HRDH_1804': np.float64(-0.4412689748474822), 'HRDH_1867': np.float64(0.6195562722044946), 'HRDH_697': np.float64(-0.4565466396599123)}",0.059679322,0.508587129,0.509907214,FALSE
Log_ZDNC,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': np.float64(-0.4771332264096227), 'HRDH_1804': np.float64(0.4595702985195751), 'HRDH_1867': np.float64(-0.8617093283796418), 'HRDH_697': np.float64(0.23057826798838518)}",-0.162173497,0.50724778,0.531358943,FALSE
Log_ZDEN,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': np.float64(-0.47699104892417304), 'HRDH_1804': np.float64(0.45857802167163475), 'HRDH_1867': np.float64(-0.8616659530168979), 'HRDH_697': np.float64(0.2305905969250372)}",-0.162372096,0.506956405,0.531035712,FALSE
Log_SFT2,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': np.float64(0.6080854311368147), 'HRDH_1804': np.float64(-0.43953595286157177), 'HRDH_1867': np.float64(0.5752016944775449), 'HRDH_697': np.float64(-0.37253153269819694)}",0.09280491,0.498838653,0.499536153,FALSE
Log_GR,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': np.float64(0.39390210993251223), 'HRDH_1804': np.float64(-0.15735665353654366), 'HRDH_1867': np.float64(-0.8227708464459174), 'HRDH_697': np.float64(-0.5529078889771666)}",-0.28478332,0.481734375,0.457758897,FALSE
