log_var,lab_var,num_wells,avg_r,avg_abs_r,wells_found_in
Log_LSN,Lab_XRD_Quartz,4,0.4093831459378707,0.6044972227143617,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_SSN,Lab_XRD_Quartz,4,0.39712710696115067,0.6038297133509791,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_CNC,Lab_XRD_Quartz,4,-0.4615725166429795,0.5841688184139915,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_CN,Lab_XRD_Quartz,4,-0.4637009676634839,0.5827699252672309,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_SSD,Lab_XRD_Quartz,4,0.07352534068849838,0.5335486025256612,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_HRD1,Lab_XRD_Quartz,4,0.059679322011317607,0.5085871292650149,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_ZDNC,Lab_XRD_Quartz,4,-0.16217349707032602,0.5072477803243062,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_ZDEN,Lab_XRD_Quartz,4,-0.16237209583609974,0.5069564051344357,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_SFT2,Lab_XRD_Quartz,4,0.09280491001364771,0.498838652793532,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_GR,Lab_XRD_Quartz,4,-0.28478331975677884,0.481734374723035,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_HRD2,Lab_XRD_Quartz,4,0.08919169976334203,0.4689929741294277,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_ZCOR,Lab_XRD_Quartz,4,0.010336135365399304,0.31913683765122913,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_SSN,Lab_XRD_Illite/Mica,3,-0.5334602644549759,0.5334602644549759,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_LSN,Lab_XRD_Illite/Mica,3,-0.5273186808804758,0.5273186808804758,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_CNC,Lab_XRD_Illite/Mica,3,0.48583626824048753,0.48583626824048753,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_CN,Lab_XRD_Illite/Mica,3,0.4753849628677322,0.4753849628677322,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_GR,Lab_XRD_Illite/Mica,3,0.4243796079370095,0.4243796079370095,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_PE,Lab_XRD_Quartz,3,0.056758861548164286,0.40501245970759386,"['HRDH_1119', 'HRDH_1804', 'HRDH_697']"
Log_ZDNC,Lab_XRD_Illite/Mica,3,0.0072858889833525104,0.3733933145062422,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_ZDEN,Lab_XRD_Illite/Mica,3,0.007602871689770825,0.3730801026019308,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_SHR,Lab_XRD_Quartz,3,-0.05709229754288636,0.36973710643245566,"['HRDH_1119', 'HRDH_1804', 'HRDH_697']"
Log_HRD1,Lab_XRD_Illite/Mica,3,0.16094198806948912,0.33360034959661417,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_HRD2,Lab_XRD_Illite/Mica,3,0.11519727197879753,0.33320163287707544,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_SSD,Lab_XRD_Illite/Mica,3,0.19117082957231832,0.31515562278588444,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_ZCOR,Lab_XRD_Illite/Mica,3,0.27544778638735185,0.27544778638735185,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_SFT2,Lab_XRD_Illite/Mica,3,0.15381245955822875,0.2710907608157395,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_SHR,Lab_XRD_Illite/Mica,3,0.033930676068377796,0.2676117637170506,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_PE,Lab_XRD_Illite/Mica,3,-0.007340030221243354,0.2611396441255471,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']"
Log_WTBH,Lab_XRD_Quartz,3,0.12760815684079488,0.20880038798690478,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867']"
Log_CN,Lab_XRD_Dickite,2,0.7261951565480138,0.7261951565480138,"['HRDH_1804', 'HRDH_1867']"
Log_CNC,Lab_XRD_Dickite,2,0.7188783007010341,0.7188783007010341,"['HRDH_1804', 'HRDH_1867']"
Log_SHR,Lab_XRF_Sr,2,0.6906720792097008,0.6906720792097008,"['HRDH_1119', 'HRDH_697']"
Log_PE,Lab_XRF_Sr,2,-0.6891480672668167,0.6891480672668167,"['HRDH_1119', 'HRDH_697']"
Log_SLGN,Lab_XRF_Na,2,0.09500505702043993,0.675897957585043,"['HRDH_1119', 'HRDH_697']"
Log_LSN,Lab_XRF_Cl,2,-0.6634080501909835,0.6634080501909835,"['HRDH_1119', 'HRDH_697']"
Log_SHR,Lab_XRF_Fe,2,0.1683572180660351,0.6629173567879323,"['HRDH_1119', 'HRDH_697']"
Log_PE,Lab_XRF_Fe,2,-0.14490831172430785,0.6521533188591554,"['HRDH_1119', 'HRDH_697']"
Log_SLGN,Lab_XRF_Fe,2,0.02434918142063308,0.6379725786702477,"['HRDH_1119', 'HRDH_697']"
Log_SSN,Lab_XRD_Dickite,2,-0.6352846183624512,0.6352846183624512,"['HRDH_1804', 'HRDH_1867']"
Log_CNC,Lab_XRF_Cl,2,0.6348913395890075,0.6348913395890075,"['HRDH_1119', 'HRDH_697']"
Log_CN,Lab_XRF_Cl,2,0.6307796270821278,0.6307796270821278,"['HRDH_1119', 'HRDH_697']"
Log_GR,Lab_XRF_Na,2,0.6286744682145179,0.6286744682145179,"['HRDH_1119', 'HRDH_697']"
Log_SFT2,Lab_XRF_Si,2,0.01032333616428116,0.623770015052884,"['HRDH_1119', 'HRDH_697']"
Log_ZCOR,Lab_XRF_Fe,2,0.6222684184027383,0.6222684184027383,"['HRDH_1119', 'HRDH_697']"
Log_SSD,Lab_XRF_Si,2,-0.08410349115976956,0.6211113435499771,"['HRDH_1119', 'HRDH_697']"
Log_SSD,Lab_XRF_Fe,2,0.620746336134802,0.620746336134802,"['HRDH_1119', 'HRDH_697']"
Log_SSD,Lab_XRF_K,2,0.6162398388705572,0.6162398388705572,"['HRDH_1119', 'HRDH_697']"
Log_LSN,Lab_XRD_Dickite,2,-0.610852316921663,0.610852316921663,"['HRDH_1804', 'HRDH_1867']"
Log_KTH,Lab_XRF_Na,2,0.6080091858152943,0.6080091858152943,"['HRDH_1119', 'HRDH_697']"
Log_PE,Lab_XRF_Si,2,0.6062838338645509,0.6062838338645509,"['HRDH_1119', 'HRDH_697']"
Log_SLGN,Lab_XRF_Si,2,0.6056475436076098,0.6056475436076098,"['HRDH_1119', 'HRDH_697']"
Log_K,Lab_XRF_Na,2,0.5988388668649312,0.5988388668649312,"['HRDH_1119', 'HRDH_697']"
Log_SSD,Lab_XRF_Al,2,0.5975961740915963,0.5975961740915963,"['HRDH_1119', 'HRDH_697']"
Log_SSN,Lab_XRD_K-Feldspar,2,-0.054442518216664126,0.5941481858141816,"['HRDH_1867', 'HRDH_697']"
Log_CAL,Lab_XRD_Illite/Mica,2,-0.2107606975024885,0.5886802911839828,"['HRDH_1804', 'HRDH_1867']"
Log_SSN,Lab_XRF_Cl,2,-0.5864552873421719,0.5864552873421719,"['HRDH_1119', 'HRDH_697']"
Log_CALX,Lab_XRD_Illite/Mica,2,-0.21344731575371267,0.5859936729327586,"['HRDH_1804', 'HRDH_1867']"
Log_SLGN,Lab_XRD_Quartz,2,0.5855092545912579,0.5855092545912579,"['HRDH_1119', 'HRDH_697']"
Log_SHR,Lab_XRF_Si,2,-0.5843213484693113,0.5843213484693113,"['HRDH_1119', 'HRDH_697']"
Log_SFT2,Lab_XRF_K,2,0.5839934904005653,0.5839934904005653,"['HRDH_1119', 'HRDH_697']"
Log_SFT2,Lab_XRF_Al,2,0.5822916674984828,0.5822916674984828,"['HRDH_1119', 'HRDH_697']"
Log_SLGN,Lab_XRF_Al,2,0.04966657177384942,0.5793607547951805,"['HRDH_1119', 'HRDH_697']"
Log_SSD,Lab_XRD_Dickite,2,-0.10329802305373723,0.5778672370009368,"['HRDH_1804', 'HRDH_1867']"
Log_SLTM,Lab_XRF_Na,2,0.5767370173402733,0.5767370173402733,"['HRDH_1119', 'HRDH_697']"
Log_SLGN,Lab_XRF_Sr,2,-0.5754819147563917,0.5754819147563917,"['HRDH_1119', 'HRDH_697']"
Log_HRD1,Lab_XRF_Al,2,0.5740319400140466,0.5740319400140466,"['HRDH_1119', 'HRDH_697']"
Log_GR,Lab_XRD_Chlorite,2,0.1607814299052529,0.5708323907465653,"['HRDH_1867', 'HRDH_697']"
Log_HRD1,Lab_XRF_K,2,0.5682896388952735,0.5682896388952735,"['HRDH_1119', 'HRDH_697']"
Log_SFT2,Lab_XRF_Fe,2,0.5680068666921605,0.5680068666921605,"['HRDH_1119', 'HRDH_697']"
Log_GRSL,Lab_XRF_S,2,-0.5652051575621186,0.5652051575621186,"['HRDH_1119', 'HRDH_697']"
Log_K,Lab_XRF_Cl,2,0.563706371566012,0.563706371566012,"['HRDH_1119', 'HRDH_697']"
Log_HRD2,Lab_XRF_S,2,-0.5613729391819127,0.5613729391819127,"['HRDH_1119', 'HRDH_697']"
Log_SSD,Lab_XRF_Sr,2,-0.0005427198446482095,0.560490131316671,"['HRDH_1119', 'HRDH_697']"
Log_SSN,Lab_XRD_Chlorite,2,-0.013760850410871772,0.5534665180083893,"['HRDH_1867', 'HRDH_697']"
Log_SLGN,Lab_XRF_Cl,2,-0.2338524846620266,0.5533038774319534,"['HRDH_1119', 'HRDH_697']"
Log_HRD1,Lab_XRF_Si,2,-0.02432042282442881,0.5509100231340728,"['HRDH_1119', 'HRDH_697']"
Log_GR,Lab_XRF_S,2,-0.5494615773860841,0.5494615773860841,"['HRDH_1119', 'HRDH_697']"
Log_K,Lab_XRD_Quartz,2,-0.06882809393373143,0.547904710432932,"['HRDH_1119', 'HRDH_697']"
Log_ZDNC,Lab_XRF_S,2,0.5467000629163464,0.5467000629163464,"['HRDH_1119', 'HRDH_697']"
Log_ZDEN,Lab_XRF_S,2,0.5466591815757789,0.5466591815757789,"['HRDH_1119', 'HRDH_697']"
Log_CN,Lab_XRD_Anatase,2,0.5450744344477,0.5450744344477,"['HRDH_1804', 'HRDH_1867']"
Log_RUKC,Lab_XRD_Quartz,2,0.5437612393027704,0.5437612393027704,"['HRDH_1804', 'HRDH_1867']"
Log_SHR,Lab_XRF_S,2,0.5433115301861804,0.5433115301861804,"['HRDH_1119', 'HRDH_697']"
