N_Wells,Log_Variable,Lab_Variable,Avg_Correlation,Avg_Abs_Correlation,Std_Correlation,Correlation_Type,Consistent_Direction,HRDH_1119_r,HRDH_1804_r,HRDH_1867_r,HRDH_697_r
3,Log_LSN,Lab_XRD_Quartz,0.2935186813771637,0.5536707837458182,0.49363029630862115,Positive,False,-0.39022815355298185,0.5134330752201117,,0.7573511224643611
3,Log_CN,Lab_XRD_Quartz,-0.3319650485942344,0.4907236587325638,0.4097512126040621,Negative,False,0.23813791520749394,-0.5271219125020683,,-0.706911148488129
3,Log_CNC,Lab_XRD_Quartz,-0.3248145644764184,0.48827630017110124,0.41077786813572226,Negative,False,0.2451926035420242,-0.5127276920499557,,-0.7069086049213237
3,Log_SFT2,Lab_XRD_Quartz,-0.06799401814098464,0.4733843055655278,0.47884232922204284,Negative,False,0.6080854311368148,-0.43953595286157177,,-0.37253153269819694
3,Log_HRD1,Lab_XRD_Quartz,-0.1269463280530747,0.471597414951855,0.4553650067273425,Negative,False,0.5169766303481704,-0.44126897484748223,,-0.4565466396599123
3,Log_HRD2,Lab_XRD_Quartz,-0.08485673092010211,0.4215449682346788,0.41936205991271436,Negative,False,0.505032355971865,-0.4329045211187419,,-0.3266980276134295
3,Log_PE,Lab_XRD_Quartz,0.05675886154816434,0.4050124597075939,0.4169902004313813,Positive,False,0.4426068897765023,-0.5223803972391443,,0.250050092107135
3,Log_ZDNC,Lab_XRD_Quartz,0.07100511336611251,0.3890939309725277,0.39870713325344787,Positive,False,-0.4771332264096228,0.45957029851957515,,0.23057826798838518
3,Log_SHR,Lab_XRD_Quartz,-0.05709229754288636,0.36973710643245555,0.37421103804882944,Negative,False,-0.37009099091371467,0.4689672133343538,,-0.27015311504929823
2,Log_SHR,Lab_XRF_Sr,0.6906720792097008,0.6906720792097008,0.1389755161730652,Positive,True,0.5516965630366356,,,0.829647595382766
2,Log_PE,Lab_XRF_Sr,-0.6891480672668167,0.6891480672668167,0.12894065471139676,Negative,True,-0.5602074125554198,,,-0.8180887219782134
2,Log_LSN,Lab_XRF_Cl,-0.6634080501909835,0.6634080501909835,0.10831298543327628,Negative,True,-0.5550950647577072,,,-0.7717210356242598
2,Log_SHR,Lab_XRF_Fe,0.16835721806603515,0.6629173567879323,0.6629173567879323,Positive,False,-0.4945601387218971,,,0.8312745748539674
2,Log_PE,Lab_XRF_Fe,-0.14490831172430785,0.6521533188591554,0.6521533188591554,Negative,False,0.5072450071348475,,,-0.7970616305834632
2,Log_CNC,Lab_XRF_Cl,0.6348913395890075,0.6348913395890075,0.15507384871237956,Positive,True,0.47981749087662795,,,0.7899651883013871
2,Log_CN,Lab_XRF_Cl,0.6307796270821278,0.6307796270821278,0.15917593241534872,Positive,True,0.4716036946667791,,,0.7899555594974765
2,Log_GR,Lab_XRF_Na,0.6286744682145179,0.6286744682145179,0.14075058696563547,Positive,True,0.4879238812488824,,,0.7694250551801534
2,Log_SFT2,Lab_XRF_Si,0.010323336164281105,0.623770015052884,0.623770015052884,Positive,False,0.6340933512171651,,,-0.6134466788886029
2,Log_KTH,Lab_XRF_Na,0.6080091858152943,0.6080091858152943,0.056670404615750125,Positive,True,0.5513387811995442,,,0.6646795904310444
2,Log_PE,Lab_XRF_Si,0.6062838338645509,0.6062838338645509,0.17715404491097647,Positive,True,0.42912978895357445,,,0.7834378787755274
2,Log_K,Lab_XRF_Na,0.5988388668649312,0.5988388668649312,0.16906706306663832,Positive,True,0.42977180379829283,,,0.7679059299315695
2,Log_LSN,Lab_XRD_Illite/Mica,-0.5863953372054229,0.5863953372054229,0.1848386168085135,Negative,True,,-0.4015567203969095,,-0.7712339540139365
2,Log_SHR,Lab_XRF_Si,-0.5843213484693113,0.5843213484693113,0.20782088704521343,Negative,True,-0.3765004614240978,,,-0.7921422355145247
2,Log_SFT2,Lab_XRF_K,0.5839934904005653,0.5839934904005653,0.02425158441431352,Positive,True,0.5597419059862517,,,0.6082450748148788
2,Log_SFT2,Lab_XRF_Al,0.5822916674984828,0.5822916674984828,0.022922602141341064,Positive,True,0.6052142696398239,,,0.5593690653571418
2,Log_SLTM,Lab_XRF_Na,0.5767370173402733,0.5767370173402733,0.0796926186728111,Positive,True,0.49704439866746214,,,0.6564296360130843
2,Log_HRD1,Lab_XRF_Al,0.5740319400140466,0.5740319400140466,0.059720877433531216,Positive,True,0.5143110625805154,,,0.6337528174475778
2,Log_HRD1,Lab_XRF_K,0.5682896388952734,0.5682896388952734,0.10873970425492602,Positive,True,0.45954993464034743,,,0.6770293431501995
2,Log_SFT2,Lab_XRF_Fe,0.5680068666921604,0.5680068666921604,0.011495546304341575,Positive,True,0.579502412996502,,,0.5565113203878188
2,Log_GRSL,Lab_XRF_S,-0.5652051575621186,0.5652051575621186,0.17819655276599136,Negative,True,-0.74340171032811,,,-0.38700860479612725
2,Log_K,Lab_XRF_Cl,0.563706371566012,0.563706371566012,0.14234760194241391,Positive,True,0.4213587696235981,,,0.7060539735084259
2,Log_HRD2,Lab_XRF_S,-0.5613729391819127,0.5613729391819127,0.2782384149164325,Negative,True,-0.8396113540983451,,,-0.28313452426548014
2,Log_HRD1,Lab_XRF_Si,-0.02432042282442881,0.5509100231340728,0.5509100231340728,Negative,False,0.526589600309644,,,-0.5752304459585016
2,Log_GR,Lab_XRF_S,-0.549461577386084,0.549461577386084,0.1947225990230264,Negative,True,-0.7441841764091105,,,-0.3547389783630577
2,Log_K,Lab_XRD_Quartz,-0.0688280939337314,0.547904710432932,0.547904710432932,Negative,False,0.47907661649920064,,,-0.6167328043666634
2,Log_ZDNC,Lab_XRF_S,0.5467000629163464,0.5467000629163464,0.300468070491046,Positive,True,0.8471681334073924,,,0.2462319924253004
2,Log_CN,Lab_XRD_Illite/Mica,0.5461986188048265,0.5461986188048265,0.13515965052240336,Positive,True,,0.41103896828242314,,0.6813582693272299
2,Log_SHR,Lab_XRF_S,0.5433115301861804,0.5433115301861804,0.31763958589947855,Positive,True,0.860951116085659,,,0.2256719442867019
2,Log_SFT2,Lab_XRF_Sr,0.0003206647504320759,0.5426654054241771,0.5426654054241771,Positive,False,-0.5423447406737449,,,0.5429860701746091
2,Log_SHR,Lab_XRF_Ca,-0.11238074927607875,0.5425071644285674,0.5425071644285674,Negative,False,-0.6548879137046462,,,0.4301264151524887
2,Log_CNC,Lab_XRD_Illite/Mica,0.5417785462804973,0.5417785462804973,0.13957803794778142,Positive,True,,0.40220050833271587,,0.6813565842282787
2,Log_PE,Lab_XRF_Ca,0.08935242350537842,0.5394952784095558,0.5394952784095558,Positive,False,0.6288477019149342,,,-0.4501428549041774
2,Log_PE,Lab_XRF_K,-0.14609272445634855,0.5375162182472506,0.5375162182472506,Negative,False,0.3914234937909021,,,-0.6836089427035992
2,Log_LSN,Lab_XRF_Al,-0.5351689009130947,0.5351689009130947,0.16442949103407312,Negative,True,-0.37073940987902154,,,-0.6995983919471678
2,Log_LSN,Lab_XRF_Si,0.15216290423988854,0.5324991155208129,0.5324991155208129,Positive,False,-0.3803362112809243,,,0.6846620197607014
2,Log_ZDNC,Lab_XRF_Sr,0.5309644277175629,0.5309644277175629,0.0655548354399256,Positive,True,0.5965192631574885,,,0.4654095922776373
2,Log_CNC,Lab_XRF_Mg,0.5264342396784568,0.5264342396784568,0.05215947524178588,Positive,True,0.5785937149202427,,,0.47427476443667094
2,Log_CN,Lab_XRF_Mg,0.5228135894716914,0.5228135894716914,0.04853644876671126,Positive,True,0.5713500382384027,,,0.47427714070498017
2,Log_PE,Lab_XRF_S,-0.5223096056950305,0.5223096056950305,0.3005156421690148,Negative,True,-0.8228252478640453,,,-0.2217939635260157
2,Log_GRSL,Lab_XRF_Ca,0.2286347256272122,0.5220249068469373,0.5220249068469373,Positive,False,0.7506596324741495,,,-0.29339018121972504
2,Log_SHR,Lab_XRF_K,0.17110017796712448,0.5134524064415089,0.5134524064415089,Positive,False,-0.34235222847438446,,,0.6845525844086334
2,Log_ZDNC,Lab_XRF_Fe,-0.05242823215426198,0.500044936833991,0.500044936833991,Negative,False,-0.5524731689882529,,,0.44761670467972897
2,Log_PE,Lab_XRF_Al,-0.05979108103335609,0.49887529575203693,0.49887529575203693,Negative,False,0.4390842147186808,,,-0.558666376785393
2,Log_LSN,Lab_XRF_K,-0.4958177266871585,0.4958177266871585,0.1493703311079232,Negative,True,-0.3464473955792353,,,-0.6451880577950817
2,Log_LSN,Lab_XRF_Fe,-0.4916021716698983,0.4916021716698983,0.05505468936834754,Negative,True,-0.43654748230155077,,,-0.5466568610382458
2,Log_GRSL,Lab_XRF_Na,0.48889622012908435,0.48889622012908435,0.0011744091320913808,Positive,True,0.48772181099699297,,,0.4900706292611757
2,Log_GR,Lab_XRF_Cl,0.487139616941514,0.487139616941514,0.25127781116784464,Positive,True,0.23586180577366933,,,0.7384174281093586
2,Log_KTH,Lab_XRD_Quartz,0.06589674210494548,0.48334984534800485,0.48334984534800485,Positive,False,0.5492465874529503,,,-0.41745310324305934
2,Log_ZDNC,Lab_XRF_Na,-0.48022974817765984,0.48022974817765984,0.07866172425357157,Negative,True,-0.5588914724312314,,,-0.40156802392408825
2,Log_HRD1,Lab_XRF_Fe,0.4798414909674421,0.4798414909674421,0.07536326496735671,Positive,True,0.5552047559347988,,,0.4044782260000854
2,Log_SHR,Lab_XRF_Al,0.07667131352289128,0.47859048061868714,0.47859048061868714,Positive,False,-0.40191916709579584,,,0.5552617941415784
2,Log_HRD2,Lab_XRF_Ca,0.23448996129274513,0.4784344439300945,0.4784344439300945,Positive,False,0.7129244052228396,,,-0.24394448263734936
2,Log_SHR,Lab_XRF_Mg,-0.0014044910616095863,0.4763043799833335,0.4763043799833335,Negative,False,-0.47770887104494314,,,0.47489988892172397
2,Log_GR,Lab_XRD_Quartz,-0.07950288952232715,0.47340499945483944,0.47340499945483944,Negative,False,0.3939021099325123,,,-0.5529078889771666
2,Log_LSN,Lab_XRF_Mg,-0.46858187102817983,0.46858187102817983,0.09438200117715634,Negative,True,-0.5629638722053362,,,-0.3741998698510235
2,Log_HRD1,Lab_XRF_Sr,-0.10154313155652592,0.4665718962376556,0.4665718962376556,Negative,False,-0.5681150277941815,,,0.3650287646811297
2,Log_LSN,Lab_XRF_Na,-0.44950185514686963,0.44950185514686963,0.12239152892887056,Negative,True,-0.32711032621799907,,,-0.5718933840757402
2,Log_PE,Lab_XRF_Mg,-0.02358658943436784,0.4428132466268043,0.4428132466268043,Negative,False,0.41922665719243646,,,-0.46639983606117213
2,Log_GRSL,Lab_XRD_Quartz,-0.0459828137842459,0.43918487881329366,0.43918487881329366,Negative,False,0.39320206502904775,,,-0.48516769259753956
2,Log_HRD2,Lab_XRF_Al,0.4253191485203181,0.4253191485203181,0.08422503211352744,Positive,True,0.5095441806338455,,,0.34109411640679066
2,Log_CNC,Lab_XRF_Si,-0.18014186094130413,0.4184067121341192,0.4184067121341192,Negative,False,0.23826485119281507,,,-0.5985485730754233
2,Log_CN,Lab_XRF_Si,-0.18377551765140898,0.4147788290310216,0.4147788290310216,Negative,False,0.23100331137961258,,,-0.5985543466824306
2,Log_HRD2,Lab_XRF_Fe,0.15325920410183982,0.4143097479143252,0.4143097479143252,Positive,False,0.567568952016165,,,-0.2610505438124853
2,Log_HRD2,Lab_XRF_Sr,-0.41239851191632704,0.41239851191632704,0.14202008870087446,Negative,True,-0.5544186006172015,,,-0.2703784232154526
2,Log_K,Lab_XRF_Si,0.042281023831664294,0.410846452485664,0.410846452485664,Positive,False,0.45312747631732825,,,-0.36856542865399966
