Log_Variable,Lab_Variable,Well,Correlation,N_Wells,Avg_Correlation,Avg_Abs_Correlation,Std_Correlation,Correlation_Type,Consistent_Direction
Log_CN,Lab_XRD_Dickite,HRDH_1804,0.5595755310776418,2,0.7261951565480138,0.7261951565480138,0.166619625470372,Positive,True
Log_CN,Lab_XRD_Dickite,HRDH_1867,0.8928147820183858,2,0.7261951565480138,0.7261951565480138,0.166619625470372,Positive,True
Log_CNC,Lab_XRD_Dickite,HRDH_1804,0.5555597458166589,2,0.7188783007010341,0.7188783007010341,0.1633185548843752,Positive,True
Log_CNC,Lab_XRD_Dickite,HRDH_1867,0.8821968555854093,2,0.7188783007010341,0.7188783007010341,0.1633185548843752,Positive,True
Log_SHR,Lab_XRF_Sr,HRDH_1119,0.5516965630366356,2,0.6906720792097008,0.6906720792097008,0.1389755161730652,Positive,True
Log_SHR,Lab_XRF_Sr,HRDH_697,0.829647595382766,2,0.6906720792097008,0.6906720792097008,0.1389755161730652,Positive,True
Log_PE,Lab_XRF_Sr,HRDH_1119,-0.5602074125554198,2,-0.6891480672668167,0.6891480672668167,0.12894065471139676,Negative,True
Log_PE,Lab_XRF_Sr,HRDH_697,-0.8180887219782134,2,-0.6891480672668167,0.6891480672668167,0.12894065471139676,Negative,True
Log_LSN,Lab_XRF_Cl,HRDH_1119,-0.5550950647577071,2,-0.6634080501909835,0.6634080501909835,0.10831298543327639,Negative,True
Log_LSN,Lab_XRF_Cl,HRDH_697,-0.7717210356242599,2,-0.6634080501909835,0.6634080501909835,0.10831298543327639,Negative,True
Log_SHR,Lab_XRF_Fe,HRDH_1119,-0.4945601387218972,2,0.1683572180660351,0.6629173567879323,0.6629173567879323,Positive,False
Log_SHR,Lab_XRF_Fe,HRDH_697,0.8312745748539674,2,0.1683572180660351,0.6629173567879323,0.6629173567879323,Positive,False
Log_PE,Lab_XRF_Fe,HRDH_1119,0.5072450071348475,2,-0.14490831172430785,0.6521533188591554,0.6521533188591554,Negative,False
Log_PE,Lab_XRF_Fe,HRDH_697,-0.7970616305834632,2,-0.14490831172430785,0.6521533188591554,0.6521533188591554,Negative,False
Log_CNC,Lab_XRF_Cl,HRDH_1119,0.47981749087662795,2,0.6348913395890075,0.6348913395890075,0.1550738487123795,Positive,True
Log_CNC,Lab_XRF_Cl,HRDH_697,0.789965188301387,2,0.6348913395890075,0.6348913395890075,0.1550738487123795,Positive,True
Log_CN,Lab_XRF_Cl,HRDH_1119,0.471603694666779,2,0.6307796270821278,0.6307796270821278,0.15917593241534878,Positive,True
Log_CN,Lab_XRF_Cl,HRDH_697,0.7899555594974765,2,0.6307796270821278,0.6307796270821278,0.15917593241534878,Positive,True
Log_GR,Lab_XRF_Na,HRDH_1119,0.4879238812488824,2,0.6286744682145179,0.6286744682145179,0.14075058696563547,Positive,True
Log_GR,Lab_XRF_Na,HRDH_697,0.7694250551801534,2,0.6286744682145179,0.6286744682145179,0.14075058696563547,Positive,True
Log_SFT2,Lab_XRF_Si,HRDH_1119,0.6340933512171651,2,0.01032333616428116,0.623770015052884,0.623770015052884,Positive,False
Log_SFT2,Lab_XRF_Si,HRDH_697,-0.6134466788886028,2,0.01032333616428116,0.623770015052884,0.623770015052884,Positive,False
Log_LSN,Lab_XRD_Dickite,HRDH_1804,-0.5216931737990014,2,-0.610852316921663,0.610852316921663,0.0891591431226616,Negative,True
Log_LSN,Lab_XRD_Dickite,HRDH_1867,-0.7000114600443246,2,-0.610852316921663,0.610852316921663,0.0891591431226616,Negative,True
Log_KTH,Lab_XRF_Na,HRDH_1119,0.551338781199544,2,0.6080091858152943,0.6080091858152943,0.05667040461575018,Positive,True
Log_KTH,Lab_XRF_Na,HRDH_697,0.6646795904310444,2,0.6080091858152943,0.6080091858152943,0.05667040461575018,Positive,True
Log_PE,Lab_XRF_Si,HRDH_1119,0.42912978895357445,2,0.6062838338645509,0.6062838338645509,0.17715404491097647,Positive,True
Log_PE,Lab_XRF_Si,HRDH_697,0.7834378787755274,2,0.6062838338645509,0.6062838338645509,0.17715404491097647,Positive,True
Log_K,Lab_XRF_Na,HRDH_1119,0.4297718037982927,2,0.5988388668649312,0.5988388668649312,0.16906706306663843,Positive,True
Log_K,Lab_XRF_Na,HRDH_697,0.7679059299315696,2,0.5988388668649312,0.5988388668649312,0.16906706306663843,Positive,True
Log_SHR,Lab_XRF_Si,HRDH_1119,-0.3765004614240979,2,-0.5843213484693113,0.5843213484693113,0.2078208870452134,Negative,True
Log_SHR,Lab_XRF_Si,HRDH_697,-0.7921422355145247,2,-0.5843213484693113,0.5843213484693113,0.2078208870452134,Negative,True
