Depth_ft,Sample_ID,XRD_Calcite,XRD_Dolomite,XRD_Ankerite,XRD_Siderite,XRD_Quartz,XRD_Plagioclase,XRD_K-Feldspar,XRD_Illite/Mica,XRD_Smectite,XRD_Kaolinite,XRD_Chlorite,XRD_Mixed Clay,XRD_Anhydrite,XRD_Gypsum,XRD_Pyrite,XRD_Hematite,XRF_Na,XRF_Mg,XRF_Al,XRF_Si,XRF_P,XRF_S,XRF_Cl,XRF_K,XRF_Ca,XRF_Ti,XRF_Mn,XRF_Fe,XRF_Zr,XRF_Sr,XRF_Ba
10742.5,20,0.0,1.5,0,0,0.1,0.0,0,0,0,0,0,0,98.4,0,0.0,0,0.0,0.56,0.0,0.15,0.0,30.15,0.0,0.0,68.4,0,0,0.15,0,0.59,0
10743.4,21,0.0,0.7,0,0,0.0,0.0,0,0,0,0,0,0,99.3,0,0.0,0,0.0,0.36,0.04,0.11,0.0,30.49,0.01,0.07,68.28,0,0,0.09,0,0.55,0
10744.3,22,0.0,3.0,0,0,0.1,0.0,0,0,0,0,0,0,96.9,0,0.0,0,0.0,1.1,0.06,0.1,0.03,27.48,0.0,0.14,70.3,0,0,0.19,0,0.6,0
10745.4,23,0.0,22.8,0,0,0.1,0.3,0,0,0,0,0,0,76.8,0,0.0,0,0.0,8.22,0.26,0.91,0.0,17.83,0.07,0.35,71.44,0,0,0.46,0,0.46,0
10746.5,24,0.0,3.7,0,0,0.1,0.1,0,0,0,0,0,0,96.1,0,0.0,0,0.0,1.7,0.1,0.3,0.0,28.19,0.03,0.16,68.81,0,0,0.17,0,0.54,0
10760.3,36,0.0,92.7,0,0,0.4,1.2,0,0,0,0,0,0,5.7,0,0.0,0,0.11,17.77,0.45,1.49,0.0,2.18,0.16,0.4,76.64,0,0,0.68,0,0.12,0
10761.4,37,0.0,64.5,0,0,0.1,0.5,0,0,0,0,0,0,34.8,0,0.1,0,0.09,13.57,0.29,1.07,0.02,8.75,0.16,0.29,74.65,0,0,0.64,0,0.47,0
10762.4,38,0.0,47.4,0,0,0.1,0.4,0,0,0,0,0,0,52.1,0,0.0,0,0.0,12.08,0.25,0.76,0.0,12.0,0.07,0.23,73.48,0,0,0.44,0,0.69,0
10767.7,43,0.0,56.7,0,0,0.1,0.9,0,0,0,0,0,0,42.3,0,0.0,0,0.0,12.6,0.2,0.7,0.0,10.88,0.1,0.28,74.37,0,0,0.38,0,0.49,0
10769.4,45,0.0,58.2,0,0,0.3,0.5,0,0,0,0,0,0,41.0,0,0.0,0,0.0,13.24,0.17,0.88,0.0,9.92,0.1,0.22,74.58,0,0,0.45,0,0.44,0
10770.3,46,0.0,47.6,0,0,0.1,0.4,0,0,0,0,0,0,51.9,0,0.0,0,0.0,11.42,0.17,0.66,0.02,12.28,0.13,0.22,74.19,0,0,0.42,0,0.49,0
10791.3,61,0.0,93.0,0,0,1.5,0.8,0,0,0,0,0,0,4.6,0,0.1,0,0.27,13.9,1.42,7.13,0.04,1.85,0.28,1.5,71.95,0,0,1.54,0,0.12,0
10794.7,64,24.0,70.8,0,0,0.7,0.0,0,0,0,0,0,0,4.5,0,0.0,0,0.24,9.78,0.88,3.98,0.02,1.13,0.18,0.9,81.6,0,0,1.23,0,0.06,0
10800.3,70,82.1,13.2,0,0,0.6,0.0,0,0,0,0,0,0,4.1,0,0.0,0,0.21,1.76,0.38,1.77,0.02,1.16,0.09,0.33,92.93,0,0,0.68,0,0.67,0
10801.8,71,6.0,92.1,0,0,0.8,1.1,0,0,0,0,0,0,0.0,0,0.0,0,0.2,14.49,1.12,4.71,0.04,0.56,0.13,1.52,75.22,0,0,1.9,0,0.11,0
10864.5,124,36.1,61.7,0,0,0.1,0.4,0,0,0,0,0,0,1.7,0,0.0,0,0.13,5.43,0.53,1.93,0.03,0.68,0.07,0.26,90.24,0,0,0.63,0,0.07,0
10865.4,125,40.9,50.9,0,0,0.2,0.3,0,0,0,0,0,0,7.7,0,0.0,0,0.13,4.71,0.19,0.75,0.0,1.84,0.07,0.21,91.4,0,0,0.59,0,0.11,0
10866.5,126,39.8,47.1,0,0,0.1,0.3,0,0,0,0,0,0,12.7,0,0.0,0,0.0,3.8,0.17,0.7,0.02,2.07,0.03,0.19,92.39,0,0,0.48,0,0.15,0
