TDEP    , BIT    , BVOL      , CAL       , CHT        , CN          , CVOL       , GR        , HRD1      , HRD2       , K           , LSN       , PE        , RTHU        , SFT2      , SHR        , SLGN     , SLTM      , SPD       , SSD      , SSN      , TEN      , TH         , U           , WTBH     , ZCOR          , ZDEN     , ZDNC
10842.75, -999.25, -999.25   , -999.25   , -999.25    , -999.25     , -999.25    , -999.25   , -999.25   , -999.25    , -999.25     , -999.25   , -999.25   , -999.25     , -999.25   , -999.25    , -999.25  , -999.25   , -999.25   , -999.25  , -999.25  , -999.25  , -999.25    , -999.25     , 226.94301, -999.25       , -999.25  , -999.25
10843.0 , -999.25, -999.25   , -999.25   , -999.25    , -999.25     , -999.25    , -999.25   , -999.25   , -999.25    , -999.25     , -999.25   , -999.25   , -999.25     , -999.25   , -999.25    , -999.25  , -999.25   , -999.25   , -999.25  , -999.25  , -999.25  , -999.25    , -999.25     , 226.9799 , -999.25       , -999.25  , -999.25
10843.25, -999.25, -999.25   , -999.25   , -999.25    , -999.25     , -999.25    , -999.25   , -999.25   , -999.25    , -999.25     , -999.25   , -999.25   , -999.25     , -999.25   , -999.25    , -999.25  , -999.25   , -999.25   , -999.25  , -999.25  , -999.25  , -999.25    , -999.25     , 226.99045, -999.25       , -999.25  , -999.25
10843.5 , -999.25, -999.25   , -999.25   , -999.25    , -999.25     , -999.25    , -999.25   , -999.25   , -999.25    , -999.25     , -999.25   , -999.25   , -999.25     , -999.25   , -999.25    , -999.25  , -999.25   , -999.25   , -999.25  , -999.25  , -999.25  , -999.25    , -999.25     , 226.98154, -999.25       , -999.25  , -999.25
10843.75, -999.25, -999.25   , -999.25   , -999.25    , -999.25     , -999.25    , -999.25   , -999.25   , -999.25    , -999.25     , -999.25   , -999.25   , -999.25     , -999.25   , -999.25    , -999.25  , -999.25   , -999.25   , -999.25  , -999.25  , -999.25  , -999.25    , -999.25     , 226.96066, -999.25       , -999.25  , -999.25
10844.0 , -999.25, -999.25   , -999.25   , -999.25    , -999.25     , -999.25    , -999.25   , -999.25   , -999.25    , -999.25     , -999.25   , -999.25   , -999.25     , -999.25   , -999.25    , -999.25  , -999.25   , -999.25   , -999.25  , -999.25  , -999.25  , -999.25    , -999.25     , 226.92438, -999.25       , -999.25  , -999.25
10844.25, -999.25, -999.25   , -999.25   , -999.25    , -999.25     , -999.25    , -999.25   , -999.25   , -999.25    , -999.25     , -999.25   , -999.25   , -999.25     , -999.25   , -999.25    , -999.25  , -999.25   , -999.25   , -999.25  , -999.25  , -999.25  , -999.25    , -999.25     , 226.86334, -999.25       , -999.25  , -999.25
10844.5 , -999.25, -999.25   , -999.25   , -999.25    , -999.25     , -999.25    , -999.25   , -999.25   , -999.25    , -999.25     , -999.25   , -999.25   , -999.25     , -999.25   , -999.25    , -999.25  , -999.25   , -999.25   , -999.25  , -999.25  , -999.25  , -999.25    , -999.25     , 226.75934, -999.25       , -999.25  , -999.25
10844.75, -999.25, -999.25   , -999.25   , -999.25    , -999.25     , -999.25    , -999.25   , -999.25   , -999.25    , -999.25     , -999.25   , -999.25   , -999.25     , -999.25   , -999.25    , -999.25  , -999.25   , -999.25   , -999.25  , -999.25  , -999.25  , -999.25    , -999.25     , 226.61214, -999.25       , -999.25  , -999.25
10845.0 , -999.25, -999.25   , -999.25   , -999.25    , -999.25     , -999.25    , -999.25   , -999.25   , -999.25    , -999.25     , -999.25   , -999.25   , -999.25     , -999.25   , -999.25    , -999.25  , -999.25   , -999.25   , -999.25  , -999.25  , -999.25  , -999.25    , -999.25     , 226.45392, -999.25       , -999.25  , -999.25
10845.25, -999.25, -999.25   , -999.25   , -999.25    , -999.25     , -999.25    , -999.25   , -999.25   , -999.25    , -999.25     , -999.25   , -999.25   , -999.25     , -999.25   , -999.25    , -999.25  , -999.25   , -999.25   , -999.25  , -999.25  , -999.25  , -999.25    , -999.25     , 226.33092, -999.25       , -999.25  , -999.25
10845.5 , -999.25, -999.25   , -999.25   , -999.25    , -999.25     , -999.25    , -999.25   , -999.25   , -999.25    , -999.25     , -999.25   , -999.25   , -999.25     , -999.25   , -999.25    , -999.25  , -999.25   , -999.25   , -999.25  , -999.25  , -999.25  , -999.25    , -999.25     , 226.28601, -999.25       , -999.25  , -999.25
10845.75, -999.25, -999.25   , -999.25   , -999.25    , -999.25     , -999.25    , -999.25   , -999.25   , -999.25    , -999.25     , -999.25   , -999.25   , -999.25     , -999.25   , -999.25    , -999.25  , -999.25   , -999.25   , -999.25  , -999.25  , -999.25  , -999.25    , -999.25     , 226.32402, -999.25       , -999.25  , -999.25
10846.0 , -999.25, -999.25   , -999.25   , -999.25    , -999.25     , -999.25    , -999.25   , -999.25   , -999.25    , -999.25     , -999.25   , -999.25   , -999.25     , -999.25   , -999.25    , -999.25  , -999.25   , -999.25   , -999.25  , -999.25  , -999.25  , -999.25    , -999.25     , 226.41634, -999.25       , -999.25  , -999.25
10846.25, -999.25, -999.25   , -999.25   , -999.25    , -999.25     , -999.25    , -999.25   , -999.25   , -999.25    , -999.25     , -999.25   , -999.25   , -999.25     , -999.25   , -999.25    , -999.25  , -999.25   , -999.25   , -999.25  , -999.25  , -999.25  , -999.25    , -999.25     , 226.52893, -999.25       , -999.25  , -999.25
10846.5 , -999.25, -999.25   , -999.25   , -999.25    , -999.25     , -999.25    , -999.25   , -999.25   , -999.25    , -999.25     , -999.25   , -999.25   , -999.25     , -999.25   , -999.25    , -999.25  , -999.25   , -999.25   , -999.25  , -999.25  , -999.25  , -999.25    , -999.25     , 226.63875, -999.25       , -999.25  , -999.25
10846.75, -999.25, -999.25   , -999.25   , -999.25    , -999.25     , -999.25    , -999.25   , -999.25   , -999.25    , -999.25     , -999.25   , -999.25   , -999.25     , -999.25   , -999.25    , -999.25  , -999.25   , -999.25   , -999.25  , -999.25  , -999.25  , -999.25    , -999.25     , 226.73851, -999.25       , -999.25  , -999.25
10847.0 , -999.25, -999.25   , -999.25   , -999.25    , -999.25     , -999.25    , -999.25   , -999.25   , -999.25    , -999.25     , -999.25   , -999.25   , -999.25     , -999.25   , -999.25    , -999.25  , -999.25   , -999.25   , -999.25  , -999.25  , -999.25  , -999.25    , -999.25     , 226.82463, -999.25       , -999.25  , -999.25
